Przewidywania na tydzieñ: 21
Miasto	Produkt	Przewidziana Iloœæ Zamówieñ
Atlanta	LG Dryer	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	3.0	1.0	0	0	0	0	0	0	0	0	1.55
Atlanta	Lightning Charging Cable	25.0	26.0	31.0	24.0	26.0	33.0	30.0	38.0	41.0	34.0	37.0	27.0	49.0	48.0	50.0	38.0	39.0	41.0	45.0	0	35.83
Atlanta	Macbook Pro Laptop	3.0	3.0	3.0	4.0	6.0	8.0	6.0	2.0	6.0	8.0	5.0	8.0	9.0	8.0	7.0	13.0	4.0	9.0	7.0	0	7.54
Atlanta	ThinkPad Laptop	10.0	9.0	6.0	2.0	8.0	3.0	10.0	6.0	7.0	2.0	5.0	7.0	9.0	10.0	7.0	11.0	7.0	7.0	6.0	0	8.30
Atlanta	USB-C Charging Cable	17.0	23.0	21.0	24.0	32.0	34.0	35.0	34.0	32.0	35.0	28.0	26.0	38.0	43.0	42.0	42.0	36.0	24.0	53.0	0	46.89
Atlanta	Vareebadd Phone	1.0	3.0	1.0	4.0	1.0	2.0	3.0	2.0	7.0	3.0	5.0	4.0	8.0	2.0	4.0	5.0	3.0	2.0	0	0	4.32
Atlanta	Wired Headphones	16.0	19.0	23.0	25.0	20.0	26.0	16.0	21.0	37.0	51.0	27.0	36.0	25.0	38.0	43.0	35.0	34.0	28.0	29.0	0	31.98
Atlanta	iPhone	6.0	8.0	10.0	10.0	15.0	7.0	6.0	10.0	15.0	10.0	11.0	9.0	17.0	17.0	17.0	13.0	8.0	14.0	8.0	0	13.62
Austin	20in Monitor	5.0	2.0	1.0	5.0	2.0	2.0	3.0	4.0	3.0	6.0	1.0	4.0	4.0	7.0	3.0	6.0	8.0	3.0	1.0	3.0	4.00
Austin	27in 4K Gaming Monitor	3.0	1.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	6.0	4.0	9.0	6.0	8.0	10.0	4.0	6.0	7.0	2.0	6.0	5.44
Austin	27in FHD Monitor	6.0	5.0	10.0	5.0	2.0	6.0	2.0	4.0	6.0	6.0	6.0	5.0	8.0	6.0	9.0	8.0	9.0	5.0	6.0	13.0	6.60
Austin	34in Ultrawide Monitor	6.0	4.0	1.0	2.0	5.0	9.0	7.0	4.0	2.0	7.0	6.0	7.0	4.0	9.0	10.0	8.0	6.0	3.0	7.0	8.0	7.52
Austin	AA Batteries (4-pack)	25.0	17.0	19.0	19.0	13.0	13.0	13.0	22.0	17.0	38.0	22.0	44.0	24.0	36.0	34.0	34.0	43.0	22.0	29.0	20.0	28.40
Austin	AAA Batteries (4-pack)	40.0	19.0	22.0	13.0	24.0	31.0	25.0	15.0	22.0	28.0	33.0	18.0	38.0	22.0	40.0	30.0	42.0	33.0	49.0	30.0	34.24
Austin	Apple Airpods Headphones	17.0	18.0	3.0	6.0	18.0	14.0	15.0	17.0	12.0	18.0	27.0	18.0	17.0	21.0	17.0	17.0	21.0	17.0	20.0	18.0	17.90
Austin	Bose SoundSport Headphones	11.0	12.0	10.0	6.0	17.0	11.0	11.0	11.0	9.0	13.0	12.0	17.0	10.0	18.0	15.0	15.0	8.0	8.0	15.0	15.0	13.81
Austin	Flatscreen TV	7.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	5.0	9.0	6.0	8.0	6.0	4.0	0	0	6.05
Austin	Google Phone	5.0	4.0	5.0	1.0	5.0	3.0	3.0	2.0	4.0	3.0	3.0	7.0	8.0	8.0	5.0	6.0	8.0	4.0	6.0	5.0	3.65
Austin	LG Dryer	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0	2.0	0	0	0	0	0	0	0.84
Austin	Lightning Charging Cable	20.0	10.0	11.0	21.0	16.0	30.0	24.0	25.0	19.0	24.0	22.0	35.0	28.0	33.0	32.0	35.0	27.0	27.0	22.0	19.0	20.45
Austin	Macbook Pro Laptop	1.0	4.0	7.0	3.0	1.0	5.0	2.0	7.0	4.0	3.0	3.0	8.0	4.0	4.0	3.0	4.0	10.0	6.0	6.0	0	3.97
Austin	ThinkPad Laptop	3.0	1.0	2.0	4.0	4.0	2.0	2.0	5.0	4.0	6.0	5.0	3.0	2.0	4.0	5.0	7.0	6.0	3.0	0	0	2.99
Austin	USB-C Charging Cable	27.0	22.0	16.0	15.0	16.0	26.0	23.0	14.0	21.0	18.0	29.0	25.0	24.0	24.0	32.0	24.0	27.0	14.0	17.0	37.0	24.46
Austin	Vareebadd Phone	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	3.0	4.0	1.0	3.0	4.61
Austin	Wired Headphones	20.0	14.0	14.0	11.0	17.0	32.0	18.0	10.0	15.0	14.0	23.0	26.0	29.0	39.0	19.0	34.0	27.0	17.0	22.0	25.0	23.96
Austin	iPhone	1.0	4.0	3.0	6.0	7.0	9.0	2.0	5.0	10.0	7.0	5.0	6.0	12.0	9.0	12.0	12.0	11.0	5.0	6.0	4.0	7.61
Boston	20in Monitor	13.0	4.0	2.0	6.0	4.0	5.0	7.0	4.0	8.0	5.0	5.0	5.0	6.0	8.0	8.0	7.0	7.0	8.0	6.0	14.0	11.53
Boston	27in 4K Gaming Monitor	17.0	6.0	5.0	8.0	6.0	5.0	16.0	16.0	13.0	14.0	8.0	11.0	9.0	17.0	11.0	18.0	7.0	11.0	13.0	18.0	11.53
Boston	27in FHD Monitor	17.0	8.0	9.0	10.0	8.0	9.0	13.0	15.0	11.0	20.0	14.0	13.0	5.0	15.0	28.0	20.0	26.0	20.0	16.0	14.0	17.58
Boston	34in Ultrawide Monitor	10.0	13.0	6.0	8.0	7.0	8.0	15.0	15.0	10.0	10.0	14.0	5.0	16.0	14.0	14.0	16.0	22.0	10.0	18.0	19.0	13.20
Boston	AA Batteries (4-pack)	43.0	40.0	37.0	41.0	31.0	44.0	50.0	48.0	50.0	52.0	55.0	66.0	49.0	73.0	66.0	95.0	58.0	54.0	64.0	50.0	59.18
Boston	AAA Batteries (4-pack)	78.0	44.0	36.0	31.0	35.0	45.0	58.0	55.0	50.0	66.0	68.0	59.0	75.0	64.0	72.0	106.0	77.0	68.0	91.0	50.0	61.44
Boston	Apple Airpods Headphones	26.0	21.0	20.0	24.0	25.0	31.0	29.0	30.0	36.0	36.0	28.0	27.0	34.0	36.0	35.0	29.0	37.0	41.0	38.0	40.0	29.63
Boston	Bose SoundSport Headphones	34.0	23.0	17.0	26.0	10.0	29.0	25.0	22.0	32.0	35.0	35.0	36.0	28.0	28.0	30.0	22.0	33.0	20.0	30.0	32.0	32.72
Boston	Flatscreen TV	7.0	7.0	7.0	10.0	6.0	12.0	11.0	10.0	12.0	8.0	11.0	10.0	12.0	9.0	14.0	8.0	9.0	14.0	20.0	9.0	12.18
Boston	Google Phone	15.0	8.0	5.0	8.0	10.0	13.0	6.0	10.0	16.0	9.0	16.0	10.0	11.0	17.0	13.0	16.0	11.0	21.0	7.0	11.0	12.83
Boston	LG Dryer	3.0	2.0	2.0	1.0	4.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	0	0	0	0	0	0	1.06
Boston	LG Washing Machine	1.0	4.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0.57
Boston	Lightning Charging Cable	46.0	37.0	15.0	24.0	29.0	34.0	31.0	32.0	60.0	50.0	31.0	34.0	50.0	72.0	56.0	55.0	54.0	49.0	54.0	61.0	51.10
Boston	Macbook Pro Laptop	12.0	9.0	4.0	6.0	2.0	1.0	4.0	7.0	6.0	9.0	3.0	12.0	8.0	7.0	6.0	15.0	11.0	12.0	12.0	7.0	9.66
Boston	ThinkPad Laptop	10.0	4.0	2.0	6.0	6.0	6.0	8.0	6.0	13.0	13.0	10.0	7.0	9.0	5.0	7.0	15.0	16.0	9.0	7.0	12.0	9.45
Boston	USB-C Charging Cable	58.0	25.0	30.0	25.0	39.0	34.0	34.0	37.0	43.0	67.0	42.0	31.0	53.0	52.0	68.0	66.0	46.0	52.0	47.0	56.0	57.83
Boston	Vareebadd Phone	2.0	2.0	4.0	2.0	9.0	1.0	5.0	4.0	5.0	4.0	7.0	3.0	4.0	7.0	3.0	8.0	5.0	2.0	5.0	3.0	3.77
Boston	Wired Headphones	34.0	30.0	31.0	24.0	34.0	28.0	31.0	44.0	43.0	44.0	47.0	39.0	46.0	57.0	43.0	51.0	39.0	45.0	49.0	42.0	44.76
Boston	iPhone	12.0	7.0	7.0	17.0	11.0	12.0	15.0	12.0	5.0	7.0	11.0	15.0	15.0	16.0	20.0	22.0	21.0	12.0	21.0	17.0	17.02
Dallas	20in Monitor	11.0	3.0	2.0	7.0	3.0	4.0	4.0	5.0	5.0	8.0	2.0	6.0	2.0	11.0	6.0	9.0	9.0	8.0	14.0	4.0	6.62
Dallas	27in 4K Gaming Monitor	14.0	5.0	3.0	6.0	4.0	7.0	5.0	4.0	7.0	7.0	9.0	13.0	11.0	10.0	9.0	8.0	11.0	12.0	8.0	7.0	10.49
Dallas	27in FHD Monitor	11.0	4.0	7.0	6.0	12.0	5.0	16.0	10.0	8.0	18.0	12.0	15.0	13.0	12.0	9.0	7.0	13.0	12.0	17.0	9.0	11.99
Dallas	34in Ultrawide Monitor	10.0	8.0	5.0	3.0	7.0	13.0	11.0	15.0	6.0	8.0	13.0	11.0	12.0	13.0	9.0	7.0	7.0	18.0	9.0	11.0	7.08
Dallas	AA Batteries (4-pack)	38.0	33.0	31.0	38.0	41.0	42.0	33.0	34.0	48.0	43.0	36.0	38.0	48.0	51.0	70.0	45.0	51.0	42.0	51.0	44.0	39.64
Dallas	AAA Batteries (4-pack)	44.0	33.0	27.0	30.0	38.0	32.0	31.0	59.0	38.0	32.0	36.0	47.0	36.0	39.0	38.0	45.0	61.0	37.0	74.0	74.0	57.46
Dallas	Apple Airpods Headphones	21.0	9.0	13.0	15.0	19.0	13.0	20.0	24.0	18.0	26.0	19.0	19.0	28.0	25.0	19.0	19.0	35.0	22.0	17.0	21.0	26.57
Dallas	Bose SoundSport Headphones	21.0	12.0	14.0	13.0	9.0	19.0	14.0	19.0	19.0	23.0	21.0	24.0	24.0	26.0	23.0	27.0	22.0	19.0	29.0	24.0	25.08
Dallas	Flatscreen TV	10.0	4.0	8.0	8.0	1.0	9.0	12.0	5.0	4.0	8.0	11.0	6.0	3.0	7.0	5.0	9.0	9.0	10.0	7.0	10.0	8.27
Dallas	Google Phone	13.0	5.0	4.0	9.0	9.0	9.0	8.0	10.0	10.0	14.0	11.0	5.0	11.0	5.0	10.0	11.0	7.0	7.0	10.0	7.0	8.71
Dallas	LG Dryer	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	0	0	0	0	0	0	0	3.01
Dallas	Lightning Charging Cable	35.0	18.0	9.0	25.0	34.0	31.0	24.0	34.0	30.0	31.0	39.0	33.0	33.0	35.0	39.0	54.0	41.0	41.0	32.0	43.0	38.68
Dallas	Macbook Pro Laptop	7.0	5.0	4.0	3.0	4.0	3.0	7.0	6.0	7.0	4.0	7.0	12.0	5.0	6.0	9.0	5.0	8.0	13.0	13.0	6.0	6.14
Dallas	ThinkPad Laptop	9.0	3.0	6.0	4.0	3.0	9.0	6.0	5.0	6.0	6.0	3.0	2.0	5.0	10.0	7.0	5.0	6.0	12.0	12.0	10.0	8.68
Dallas	USB-C Charging Cable	33.0	21.0	19.0	29.0	21.0	37.0	28.0	31.0	34.0	33.0	25.0	39.0	43.0	28.0	56.0	31.0	25.0	40.0	48.0	50.0	48.48
Dallas	Vareebadd Phone	4.0	1.0	3.0	1.0	5.0	5.0	5.0	3.0	3.0	4.0	5.0	4.0	6.0	4.0	4.0	1.0	4.0	1.0	2.0	0	-0.80
Dallas	Wired Headphones	32.0	19.0	22.0	19.0	22.0	29.0	29.0	25.0	32.0	31.0	26.0	30.0	20.0	39.0	34.0	37.0	30.0	43.0	35.0	33.0	33.24
Dallas	iPhone	10.0	6.0	4.0	9.0	2.0	11.0	12.0	6.0	10.0	8.0	5.0	5.0	15.0	14.0	12.0	16.0	13.0	8.0	10.0	10.0	13.88
Los Angeles	20in Monitor	13.0	9.0	6.0	10.0	10.0	10.0	14.0	10.0	12.0	15.0	8.0	12.0	15.0	19.0	15.0	13.0	15.0	15.0	15.0	8.0	12.39
Los Angeles	27in 4K Gaming Monitor	16.0	15.0	9.0	10.0	12.0	21.0	20.0	15.0	12.0	12.0	21.0	12.0	21.0	17.0	19.0	26.0	23.0	20.0	22.0	21.0	20.01
Los Angeles	27in FHD Monitor	29.0	15.0	22.0	14.0	16.0	14.0	23.0	26.0	21.0	21.0	21.0	20.0	20.0	23.0	30.0	25.0	24.0	25.0	15.0	28.0	26.17
Los Angeles	34in Ultrawide Monitor	30.0	15.0	4.0	17.0	11.0	16.0	18.0	18.0	12.0	14.0	15.0	23.0	20.0	16.0	25.0	25.0	20.0	25.0	13.0	21.0	13.53
Los Angeles	AA Batteries (4-pack)	93.0	37.0	47.0	63.0	31.0	82.0	75.0	72.0	77.0	76.0	88.0	82.0	97.0	127.0	85.0	96.0	130.0	66.0	74.0	89.0	93.89
Los Angeles	AAA Batteries (4-pack)	106.0	60.0	55.0	71.0	73.0	87.0	92.0	89.0	71.0	94.0	102.0	117.0	102.0	127.0	114.0	115.0	129.0	88.0	105.0	124.0	113.58
Los Angeles	Apple Airpods Headphones	40.0	26.0	24.0	28.0	31.0	42.0	25.0	31.0	38.0	51.0	54.0	50.0	25.0	62.0	45.0	60.0	76.0	51.0	43.0	50.0	49.23
Los Angeles	Bose SoundSport Headphones	36.0	17.0	23.0	26.0	28.0	29.0	23.0	36.0	43.0	49.0	32.0	35.0	44.0	49.0	64.0	39.0	42.0	38.0	50.0	36.0	40.94
Los Angeles	Flatscreen TV	16.0	6.0	10.0	10.0	13.0	3.0	11.0	9.0	12.0	9.0	9.0	11.0	15.0	17.0	13.0	14.0	19.0	15.0	10.0	20.0	10.83
Los Angeles	Google Phone	16.0	10.0	10.0	8.0	15.0	8.0	14.0	12.0	19.0	19.0	17.0	15.0	17.0	25.0	27.0	30.0	22.0	13.0	14.0	20.0	18.62
Los Angeles	LG Dryer	1.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	2.0	8.0	3.0	4.0	3.0	6.0	2.0	0	0	0	0	0	5.69
Los Angeles	LG Washing Machine	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	4.0	4.0	3.0	3.0	5.0	3.0	2.0	2.0	0	0	0	4.02
Los Angeles	Lightning Charging Cable	54.0	34.0	55.0	39.0	46.0	65.0	69.0	63.0	60.0	60.0	89.0	68.0	62.0	72.0	101.0	106.0	100.0	72.0	69.0	64.0	70.45
Los Angeles	Macbook Pro Laptop	11.0	8.0	11.0	8.0	8.0	11.0	12.0	13.0	17.0	16.0	9.0	17.0	13.0	16.0	8.0	21.0	21.0	16.0	13.0	17.0	16.36
Los Angeles	ThinkPad Laptop	14.0	9.0	6.0	8.0	10.0	11.0	11.0	10.0	8.0	13.0	14.0	9.0	10.0	16.0	17.0	10.0	19.0	12.0	15.0	9.0	13.12
Los Angeles	USB-C Charging Cable	79.0	36.0	56.0	41.0	62.0	60.0	70.0	74.0	76.0	67.0	63.0	77.0	71.0	95.0	91.0	93.0	76.0	74.0	68.0	63.0	71.97
Los Angeles	Vareebadd Phone	8.0	6.0	5.0	5.0	4.0	8.0	8.0	5.0	7.0	6.0	5.0	4.0	3.0	6.0	4.0	12.0	9.0	3.0	5.0	4.0	7.84
Los Angeles	Wired Headphones	53.0	38.0	38.0	39.0	41.0	54.0	43.0	49.0	60.0	64.0	61.0	69.0	69.0	70.0	90.0	78.0	65.0	73.0	60.0	74.0	71.34
Los Angeles	iPhone	20.0	11.0	7.0	16.0	24.0	17.0	12.0	15.0	22.0	18.0	16.0	17.0	18.0	25.0	25.0	27.0	22.0	18.0	38.0	24.0	25.93
New York City	20in Monitor	4.0	7.0	9.0	8.0	6.0	13.0	10.0	9.0	8.0	6.0	13.0	10.0	10.0	12.0	13.0	18.0	18.0	8.0	15.0	8.0	10.62
New York City	27in 4K Gaming Monitor	10.0	7.0	11.0	6.0	12.0	17.0	16.0	13.0	10.0	13.0	19.0	14.0	15.0	17.0	16.0	26.0	13.0	21.0	19.0	15.0	15.02
New York City	27in FHD Monitor	21.0	10.0	11.0	15.0	15.0	17.0	23.0	21.0	15.0	26.0	16.0	25.0	21.0	18.0	25.0	17.0	22.0	28.0	32.0	29.0	22.43
New York City	34in Ultrawide Monitor	12.0	5.0	14.0	11.0	9.0	16.0	13.0	16.0	9.0	7.0	16.0	13.0	18.0	21.0	25.0	29.0	12.0	15.0	16.0	18.0	14.00
New York City	AA Batteries (4-pack)	72.0	40.0	43.0	38.0	45.0	46.0	66.0	65.0	50.0	50.0	61.0	77.0	51.0	96.0	95.0	80.0	79.0	93.0	58.0	80.0	70.73
New York City	AAA Batteries (4-pack)	71.0	55.0	50.0	73.0	56.0	58.0	74.0	68.0	40.0	74.0	75.0	76.0	74.0	91.0	88.0	99.0	68.0	109.0	76.0	92.0	78.01
New York City	Apple Airpods Headphones	36.0	28.0	22.0	24.0	32.0	30.0	31.0	26.0	31.0	37.0	43.0	44.0	46.0	51.0	50.0	45.0	44.0	44.0	30.0	52.0	43.69
New York City	Bose SoundSport Headphones	31.0	23.0	15.0	16.0	21.0	24.0	32.0	23.0	36.0	30.0	45.0	36.0	36.0	42.0	44.0	46.0	47.0	40.0	51.0	42.0	38.35
New York City	Flatscreen TV	10.0	3.0	7.0	5.0	11.0	10.0	11.0	10.0	17.0	12.0	16.0	6.0	12.0	13.0	14.0	15.0	17.0	13.0	12.0	10.0	11.53
New York City	Google Phone	13.0	12.0	11.0	9.0	9.0	10.0	24.0	6.0	10.0	14.0	13.0	16.0	23.0	15.0	24.0	12.0	15.0	22.0	21.0	14.0	19.45
New York City	LG Dryer	1.0	1.0	4.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	0	0	1.19
New York City	LG Washing Machine	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	4.0	3.0	2.0	1.0	2.0	2.0	2.0	0	0	-1.05
New York City	Lightning Charging Cable	62.0	39.0	50.0	30.0	44.0	54.0	42.0	57.0	48.0	54.0	56.0	61.0	50.0	75.0	64.0	74.0	68.0	67.0	54.0	54.0	60.99
New York City	Macbook Pro Laptop	6.0	12.0	10.0	8.0	12.0	9.0	15.0	9.0	10.0	8.0	8.0	10.0	14.0	18.0	13.0	12.0	21.0	17.0	12.0	16.0	13.52
New York City	ThinkPad Laptop	11.0	4.0	7.0	7.0	12.0	8.0	12.0	7.0	10.0	9.0	14.0	16.0	9.0	9.0	13.0	11.0	14.0	11.0	11.0	6.0	7.83
New York City	USB-C Charging Cable	62.0	43.0	46.0	56.0	55.0	51.0	54.0	60.0	83.0	60.0	59.0	49.0	54.0	67.0	70.0	72.0	74.0	61.0	57.0	64.0	64.05
New York City	Vareebadd Phone	8.0	7.0	9.0	2.0	5.0	4.0	4.0	3.0	5.0	4.0	3.0	5.0	6.0	12.0	4.0	6.0	5.0	6.0	4.0	6.0	5.84
New York City	Wired Headphones	51.0	22.0	34.0	31.0	34.0	35.0	51.0	37.0	54.0	42.0	50.0	48.0	43.0	63.0	72.0	81.0	42.0	72.0	60.0	69.0	64.12
New York City	iPhone	23.0	17.0	6.0	12.0	14.0	11.0	12.0	10.0	8.0	12.0	22.0	17.0	13.0	20.0	15.0	20.0	11.0	13.0	18.0	21.0	17.77
Portland	20in Monitor	5.0	2.0	6.0	7.0	7.0	4.0	5.0	4.0	10.0	3.0	8.0	10.0	3.0	6.0	7.0	6.0	5.0	7.0	8.0	6.0	6.02
Portland	27in 4K Gaming Monitor	7.0	8.0	6.0	6.0	4.0	15.0	7.0	7.0	6.0	4.0	7.0	5.0	6.0	9.0	8.0	11.0	7.0	7.0	7.0	9.0	7.27
Portland	27in FHD Monitor	13.0	7.0	4.0	3.0	8.0	8.0	7.0	9.0	13.0	14.0	11.0	4.0	9.0	13.0	11.0	12.0	16.0	8.0	11.0	8.0	10.22
Portland	34in Ultrawide Monitor	7.0	5.0	5.0	6.0	3.0	8.0	5.0	4.0	7.0	4.0	15.0	7.0	8.0	18.0	9.0	7.0	9.0	9.0	12.0	9.0	8.86
Portland	AA Batteries (4-pack)	30.0	22.0	29.0	28.0	22.0	29.0	21.0	25.0	34.0	41.0	43.0	35.0	39.0	45.0	56.0	45.0	38.0	37.0	53.0	39.0	36.45
Portland	AAA Batteries (4-pack)	42.0	13.0	14.0	23.0	49.0	32.0	33.0	42.0	36.0	31.0	60.0	31.0	39.0	53.0	31.0	42.0	35.0	40.0	48.0	42.0	38.82
Portland	Apple Airpods Headphones	18.0	13.0	21.0	19.0	16.0	19.0	22.0	18.0	14.0	15.0	26.0	16.0	19.0	16.0	18.0	25.0	34.0	25.0	16.0	24.0	18.10
Portland	Bose SoundSport Headphones	15.0	4.0	7.0	9.0	13.0	18.0	17.0	16.0	14.0	20.0	15.0	26.0	17.0	22.0	24.0	13.0	20.0	16.0	13.0	17.0	16.81
Portland	Flatscreen TV	6.0	7.0	7.0	3.0	6.0	5.0	4.0	3.0	3.0	3.0	2.0	5.0	3.0	4.0	8.0	11.0	7.0	5.0	5.0	9.0	7.68
Portland	Google Phone	3.0	3.0	3.0	6.0	6.0	11.0	4.0	6.0	7.0	2.0	5.0	5.0	4.0	5.0	15.0	16.0	7.0	8.0	6.0	6.0	6.18
Portland	LG Dryer	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	0	0	0	0	0	0	0	1.27
Portland	LG Washing Machine	2.0	2.0	1.0	1.0	3.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28
Portland	Lightning Charging Cable	25.0	12.0	10.0	18.0	17.0	27.0	25.0	35.0	23.0	21.0	28.0	27.0	17.0	32.0	38.0	37.0	30.0	39.0	39.0	27.0	30.81
Portland	Macbook Pro Laptop	2.0	4.0	3.0	3.0	3.0	8.0	4.0	1.0	6.0	10.0	8.0	4.0	10.0	10.0	6.0	5.0	10.0	13.0	6.0	11.0	8.22
Portland	ThinkPad Laptop	7.0	2.0	7.0	3.0	3.0	3.0	5.0	4.0	5.0	4.0	2.0	8.0	6.0	7.0	4.0	4.0	4.0	8.0	8.0	4.0	6.07
Portland	USB-C Charging Cable	32.0	16.0	15.0	17.0	13.0	30.0	31.0	23.0	39.0	25.0	29.0	23.0	22.0	42.0	44.0	34.0	39.0	34.0	31.0	33.0	32.37
Portland	Vareebadd Phone	1.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	5.0	5.0	4.0	3.0	4.0	4.0	2.0	0	5.39
Portland	Wired Headphones	32.0	15.0	20.0	14.0	12.0	15.0	22.0	23.0	29.0	25.0	21.0	23.0	18.0	38.0	34.0	33.0	29.0	35.0	22.0	27.0	23.06
Portland	iPhone	7.0	5.0	5.0	3.0	5.0	12.0	8.0	8.0	8.0	3.0	5.0	9.0	8.0	13.0	9.0	16.0	5.0	9.0	14.0	13.0	8.95
San Francisco	20in Monitor	19.0	12.0	11.0	16.0	12.0	9.0	17.0	10.0	16.0	22.0	18.0	21.0	16.0	18.0	17.0	13.0	20.0	26.0	19.0	10.0	14.61
San Francisco	27in 4K Gaming Monitor	23.0	25.0	14.0	17.0	23.0	25.0	27.0	21.0	30.0	30.0	30.0	25.0	21.0	24.0	30.0	34.0	33.0	25.0	33.0	34.0	35.87
San Francisco	27in FHD Monitor	28.0	26.0	25.0	24.0	20.0	35.0	23.0	33.0	33.0	42.0	30.0	27.0	26.0	38.0	38.0	51.0	27.0	44.0	37.0	37.0	37.03
San Francisco	34in Ultrawide Monitor	21.0	14.0	21.0	13.0	14.0	23.0	30.0	18.0	26.0	27.0	22.0	33.0	24.0	42.0	44.0	36.0	45.0	29.0	32.0	20.0	23.17
San Francisco	AA Batteries (4-pack)	132.0	80.0	87.0	84.0	101.0	82.0	101.0	108.0	119.0	126.0	108.0	116.0	89.0	152.0	176.0	150.0	160.0	114.0	120.0	148.0	140.11
San Francisco	AAA Batteries (4-pack)	158.0	89.0	91.0	68.0	76.0	105.0	142.0	115.0	123.0	118.0	133.0	131.0	150.0	167.0	184.0	152.0	175.0	166.0	148.0	155.0	152.38
San Francisco	Apple Airpods Headphones	71.0	53.0	54.0	34.0	56.0	66.0	66.0	72.0	67.0	61.0	84.0	70.0	69.0	97.0	89.0	68.0	97.0	61.0	69.0	86.0	75.02
San Francisco	Bose SoundSport Headphones	44.0	36.0	37.0	35.0	45.0	49.0	42.0	49.0	47.0	68.0	59.0	69.0	70.0	67.0	78.0	80.0	79.0	79.0	55.0	61.0	60.11
San Francisco	Flatscreen TV	15.0	5.0	15.0	10.0	9.0	15.0	22.0	18.0	24.0	27.0	14.0	25.0	16.0	24.0	26.0	30.0	28.0	16.0	18.0	17.0	20.90
San Francisco	Google Phone	28.0	13.0	24.0	22.0	22.0	31.0	23.0	33.0	24.0	26.0	17.0	33.0	17.0	37.0	32.0	23.0	23.0	43.0	23.0	20.0	30.06
San Francisco	LG Dryer	6.0	2.0	1.0	3.0	1.0	4.0	1.0	3.0	5.0	1.0	5.0	3.0	6.0	1.0	6.0	4.0	4.0	4.0	0	0	4.08
San Francisco	LG Washing Machine	8.0	3.0	2.0	4.0	3.0	2.0	2.0	5.0	1.0	3.0	6.0	6.0	3.0	5.0	1.0	7.0	5.0	3.0	2.0	0	5.80
